SetName,Distribution,ThreadNumber,OPS,Time,Discrepancy
Default,Uniform,1,1:1:8,45436803,-1
Default,Uniform,1,1:1:8,47251179,-1
Default,Uniform,1,1:1:8,45987736,-1
Default,Uniform,1,1:1:8,46252588,-1
Default,Uniform,1,1:1:8,45926470,-1
Locked,Uniform,1,1:1:8,54903009,0
Locked,Uniform,1,1:1:8,54087775,0
Locked,Uniform,1,1:1:8,54487021,0
Locked,Uniform,1,1:1:8,57422830,0
Locked,Uniform,1,1:1:8,53567009,0
Default,Uniform,1,1:1:0,78021307,-1
Default,Uniform,1,1:1:0,76371754,-1
Default,Uniform,1,1:1:0,80964240,-1
Default,Uniform,1,1:1:0,80620559,-1
Default,Uniform,1,1:1:0,77978236,-1
Locked,Uniform,1,1:1:0,95460460,0
Locked,Uniform,1,1:1:0,88187669,0
Locked,Uniform,1,1:1:0,89995031,0
Locked,Uniform,1,1:1:0,94300554,0
Locked,Uniform,1,1:1:0,96007767,0
Default,Normal,1,1:1:8,60904253,-1
Default,Normal,1,1:1:8,59964192,-1
Default,Normal,1,1:1:8,65203845,-1
Default,Normal,1,1:1:8,58425048,-1
Default,Normal,1,1:1:8,59338527,-1
Locked,Normal,1,1:1:8,68565259,0
Locked,Normal,1,1:1:8,66398477,0
Locked,Normal,1,1:1:8,71873224,0
Locked,Normal,1,1:1:8,71403935,0
Locked,Normal,1,1:1:8,88698525,0
Default,Normal,1,1:1:0,75139319,-1
Default,Normal,1,1:1:0,74915475,-1
Default,Normal,1,1:1:0,79647306,-1
Default,Normal,1,1:1:0,76696196,-1
Default,Normal,1,1:1:0,75936458,-1
Locked,Normal,1,1:1:0,98423481,0
Locked,Normal,1,1:1:0,84362023,0
Locked,Normal,1,1:1:0,89318238,0
Locked,Normal,1,1:1:0,88478899,0
Locked,Normal,1,1:1:0,88991540,0
Default,Uniform,2,1:1:8,58871212,-1
Default,Uniform,2,1:1:8,58638140,-1
Default,Uniform,2,1:1:8,61114860,-1
Default,Uniform,2,1:1:8,62621293,-1
Default,Uniform,2,1:1:8,59921751,-1
Locked,Uniform,2,1:1:8,389572083,0
Locked,Uniform,2,1:1:8,387427511,0
Locked,Uniform,2,1:1:8,347869492,0
Locked,Uniform,2,1:1:8,396326461,0
Locked,Uniform,2,1:1:8,377420279,0
Default,Uniform,2,1:1:0,84081940,-1
Default,Uniform,2,1:1:0,83081266,-1
Default,Uniform,2,1:1:0,86469912,-1
Default,Uniform,2,1:1:0,85241346,-1
Default,Uniform,2,1:1:0,88336798,-1
Locked,Uniform,2,1:1:0,532833089,0
Locked,Uniform,2,1:1:0,541887373,0
Locked,Uniform,2,1:1:0,547238224,0
Locked,Uniform,2,1:1:0,531315752,0
Locked,Uniform,2,1:1:0,519874224,0
Default,Normal,2,1:1:8,64138584,-1
Default,Normal,2,1:1:8,59472057,-1
Default,Normal,2,1:1:8,62002058,-1
Default,Normal,2,1:1:8,73967336,-1
Default,Normal,2,1:1:8,64554512,-1
Locked,Normal,2,1:1:8,449263681,0
Locked,Normal,2,1:1:8,428274173,0
Locked,Normal,2,1:1:8,440638907,0
Locked,Normal,2,1:1:8,428286124,0
Locked,Normal,2,1:1:8,440696584,0
Default,Normal,2,1:1:0,85274255,-1
Default,Normal,2,1:1:0,83437056,-1
Default,Normal,2,1:1:0,87157661,-1
Default,Normal,2,1:1:0,86719001,-1
Default,Normal,2,1:1:0,87170846,-1
Locked,Normal,2,1:1:0,537715424,0
Locked,Normal,2,1:1:0,549009087,0
Locked,Normal,2,1:1:0,516328112,0
Locked,Normal,2,1:1:0,524128071,0
Locked,Normal,2,1:1:0,531641066,0
Default,Uniform,4,1:1:8,68028478,-1
Default,Uniform,4,1:1:8,67941192,-1
Default,Uniform,4,1:1:8,68418786,-1
Default,Uniform,4,1:1:8,68297818,-1
Default,Uniform,4,1:1:8,68253945,-1
Locked,Uniform,4,1:1:8,501055093,0
Locked,Uniform,4,1:1:8,510324284,0
Locked,Uniform,4,1:1:8,503014551,0
Locked,Uniform,4,1:1:8,481386907,0
Locked,Uniform,4,1:1:8,504636610,0
Default,Uniform,4,1:1:0,90033303,-1
Default,Uniform,4,1:1:0,89577731,-1
Default,Uniform,4,1:1:0,90924030,-1
