SetName,Distribution,ThreadNumber,OPS,Time,Discrepancy
Default,Uniform,1,1:1:8,1133915508,-1
Default,Uniform,1,1:1:8,1139635335,-1
Default,Uniform,1,1:1:8,965267589,-1
Default,Uniform,1,1:1:8,1126674908,-1
Default,Uniform,1,1:1:8,1136153252,-1
LocalLog,Uniform,1,1:1:8,306140,0
LocalLog,Uniform,1,1:1:8,532219,0
LocalLog,Uniform,1,1:1:8,291232,0
LocalLog,Uniform,1,1:1:8,255855,0
LocalLog,Uniform,1,1:1:8,431989,0
GlobalLog,Uniform,1,1:1:8,1201599352,0
GlobalLog,Uniform,1,1:1:8,1236679718,0
GlobalLog,Uniform,1,1:1:8,1189008130,0
GlobalLog,Uniform,1,1:1:8,1154855115,0
GlobalLog,Uniform,1,1:1:8,1527451829,0
Extra,Uniform,1,1:1:8,1550124392,0
Extra,Uniform,1,1:1:8,1837922153,0
Extra,Uniform,1,1:1:8,1235312304,0
Extra,Uniform,1,1:1:8,1376580450,0
Extra,Uniform,1,1:1:8,1720477512,0
Default,Uniform,1,1:1:0,1735412728,-1
Default,Uniform,1,1:1:0,1785592578,-1
Default,Uniform,1,1:1:0,1832743895,-1
Default,Uniform,1,1:1:0,1714245346,-1
Default,Uniform,1,1:1:0,1736782887,-1
LocalLog,Uniform,1,1:1:0,292585,0
LocalLog,Uniform,1,1:1:0,441508,0
LocalLog,Uniform,1,1:1:0,231449,0
LocalLog,Uniform,1,1:1:0,254382,0
LocalLog,Uniform,1,1:1:0,490390,0
GlobalLog,Uniform,1,1:1:0,1952841586,0
GlobalLog,Uniform,1,1:1:0,1861386094,0
GlobalLog,Uniform,1,1:1:0,1883144712,0
GlobalLog,Uniform,1,1:1:0,1901751763,0
GlobalLog,Uniform,1,1:1:0,1902869293,0
Extra,Uniform,1,1:1:0,2468893333,0
Extra,Uniform,1,1:1:0,2285232232,0
Extra,Uniform,1,1:1:0,2138286107,0
Extra,Uniform,1,1:1:0,2418185508,0
Extra,Uniform,1,1:1:0,2586557471,0
Default,Normal,1,1:1:8,1029276941,-1
Default,Normal,1,1:1:8,1029298011,-1
Default,Normal,1,1:1:8,1025229244,-1
Default,Normal,1,1:1:8,1037397914,-1
Default,Normal,1,1:1:8,999804763,-1
LocalLog,Normal,1,1:1:8,315569,0
LocalLog,Normal,1,1:1:8,493285,0
LocalLog,Normal,1,1:1:8,251768,0
LocalLog,Normal,1,1:1:8,247039,0
LocalLog,Normal,1,1:1:8,418253,0
GlobalLog,Normal,1,1:1:8,1156330618,0
GlobalLog,Normal,1,1:1:8,1176089263,0
GlobalLog,Normal,1,1:1:8,1200787357,0
GlobalLog,Normal,1,1:1:8,1288886308,0
GlobalLog,Normal,1,1:1:8,1060877451,0
Extra,Normal,1,1:1:8,1352012421,0
Extra,Normal,1,1:1:8,1704020293,0
Extra,Normal,1,1:1:8,1093955422,0
Extra,Normal,1,1:1:8,1208736973,0
Extra,Normal,1,1:1:8,1746612239,0
Default,Normal,1,1:1:0,1403577157,-1
Default,Normal,1,1:1:0,1397477247,-1
Default,Normal,1,1:1:0,1430210644,-1
Default,Normal,1,1:1:0,1433706786,-1
Default,Normal,1,1:1:0,1401418012,-1
LocalLog,Normal,1,1:1:0,635195,0
LocalLog,Normal,1,1:1:0,706860,0
LocalLog,Normal,1,1:1:0,248902,0
LocalLog,Normal,1,1:1:0,250566,0
LocalLog,Normal,1,1:1:0,417101,0
GlobalLog,Normal,1,1:1:0,1715129686,0
GlobalLog,Normal,1,1:1:0,1736709657,0
GlobalLog,Normal,1,1:1:0,1508043535,0
GlobalLog,Normal,1,1:1:0,1530256978,0
GlobalLog,Normal,1,1:1:0,1654251213,0
Extra,Normal,1,1:1:0,1871706191,0
Extra,Normal,1,1:1:0,2684958289,0
Extra,Normal,1,1:1:0,2169144882,0
Extra,Normal,1,1:1:0,2037228826,0
Extra,Normal,1,1:1:0,1953829827,0
Default,Uniform,2,1:1:8,1553166143,-1
Default,Uniform,2,1:1:8,1541265992,-1
Default,Uniform,2,1:1:8,1314824183,-1
Default,Uniform,2,1:1:8,1504510236,-1
Default,Uniform,2,1:1:8,1521444867,-1
LocalLog,Uniform,2,1:1:8,541087,0
LocalLog,Uniform,2,1:1:8,381183,0
LocalLog,Uniform,2,1:1:8,497364,0
LocalLog,Uniform,2,1:1:8,349253,0
LocalLog,Uniform,2,1:1:8,473298,0
GlobalLog,Uniform,2,1:1:8,1808682879,0
GlobalLog,Uniform,2,1:1:8,2189580518,0
GlobalLog,Uniform,2,1:1:8,2260184645,0
GlobalLog,Uniform,2,1:1:8,1712608592,0
GlobalLog,Uniform,2,1:1:8,1715398314,0
Extra,Uniform,2,1:1:8,3864198593,0
Extra,Uniform,2,1:1:8,2659175642,0
Extra,Uniform,2,1:1:8,3056824504,0
Extra,Uniform,2,1:1:8,3021731021,0
Extra,Uniform,2,1:1:8,3067552172,0
Default,Uniform,2,1:1:0,1962827700,-1
Default,Uniform,2,1:1:0,1903300202,-1
Default,Uniform,2,1:1:0,1991156602,-1
Default,Uniform,2,1:1:0,1981174960,-1
Default,Uniform,2,1:1:0,1950126047,-1
LocalLog,Uniform,2,1:1:0,526920,0
LocalLog,Uniform,2,1:1:0,551456,0
LocalLog,Uniform,2,1:1:0,639143,0
LocalLog,Uniform,2,1:1:0,341608,0
LocalLog,Uniform,2,1:1:0,582074,0
GlobalLog,Uniform,2,1:1:0,2744185796,0
GlobalLog,Uniform,2,1:1:0,2519324073,0
GlobalLog,Uniform,2,1:1:0,2519252839,0
GlobalLog,Uniform,2,1:1:0,2501815391,0
GlobalLog,Uniform,2,1:1:0,2552568806,0
Extra,Uniform,2,1:1:0,3300693421,0
Extra,Uniform,2,1:1:0,4140674260,0
Extra,Uniform,2,1:1:0,3967096728,0
Extra,Uniform,2,1:1:0,3418247561,0
Extra,Uniform,2,1:1:0,4125614377,0
Default,Normal,2,1:1:8,1194834233,-1
Default,Normal,2,1:1:8,1283386691,-1
